Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Singapore,SG,,,,1.35,103.82,57715,confirmed,2020-09-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,57742,confirmed,2020-09-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,57765,confirmed,2020-09-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,57784,confirmed,2020-10-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,57794,confirmed,2020-10-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,57800,confirmed,2020-10-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,57812,confirmed,2020-10-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,57819,confirmed,2020-10-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,57830,confirmed,2020-10-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,57840,confirmed,2020-10-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,57849,confirmed,2020-10-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,57859,confirmed,2020-10-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,57866,confirmed,2020-10-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,57876,confirmed,2020-10-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,57880,confirmed,2020-10-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,57884,confirmed,2020-10-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,57889,confirmed,2020-10-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,57892,confirmed,2020-10-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,57901,confirmed,2020-10-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,57904,confirmed,2020-10-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,57911,confirmed,2020-10-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,57915,confirmed,2020-10-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,57921,confirmed,2020-10-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,57933,confirmed,2020-10-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,57941,confirmed,2020-10-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,57951,confirmed,2020-10-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,57965,confirmed,2020-10-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,57970,confirmed,2020-10-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,57973,confirmed,2020-10-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,57980,confirmed,2020-10-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,57987,confirmed,2020-10-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,57994,confirmed,2020-10-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,58003,confirmed,2020-10-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,58015,confirmed,2020-10-31T00:00:00Z
